,Developer,Repository Name,Number of Stars,Coding Language
0,cli,cli,"17,215",Go
1,gnebbia,kb,"1,872",Python
2,schollz,croc,"8,983",Go
3,onevcat,Kingfisher,"17,243",Swift
4,moby,moby,"58,358",Go
5,matterport,Mask_RCNN,"18,264",Python
6,google,googletest,"17,804",C++
7,FreeCAD,FreeCAD,"7,404",C++
8,iamadamdev,bypass-paywalls-chrome,"9,334",JavaScript
9,vuejs,vue-next,"17,679",TypeScript
10,microsoft,onefuzz,"1,872",Rust
11,twintproject,twint,"7,251",Python
12,lyhue1991,eat_tensorflow2_in_30_days,"7,045",Python
13,snakers4,silero-models,331,JupyterNotebook
14,hediet,vscode-debug-visualizer,"6,081",TypeScript
15,tannerlinsley,react-query,"12,982",TypeScript
16,proxysu,windows,760,C#
17,mozilla,send,"12,306",JavaScript
18,jaywcjlove,linux-command,"14,144",HTML
19,material-shell,material-shell,"4,128",JavaScript
20,iamkun,dayjs,"30,654",JavaScript
21,swisskyrepo,PayloadsAllTheThings,"17,638",Python
22,TheCherno,Hazel,"3,951",C++
23,HeroTransitions,Hero,"19,338",Swift
24,pytorch,pytorch,"42,547",C++
